Item Name/Number,Purchase Price,Vendor Purchase Price,NEW OP,Minimum Quantity
Apollo C2-0029,148,148,183.52,1
Apollo C2-0028,148,148,183.52,1
Apollo C2-0027,148,148,183.52,1
Apollo C2-0026,148,148,183.52,1
Apollo C2-0025,148,148,183.52,1
Apollo C2-0024,148,148,183.52,1
Apollo C2-0023,148,148,183.52,1
Apollo C2-0022,148,148,183.52,1
Apollo C2-0021,148,148,183.52,1
Apollo C2-0020,148,148,183.52,1
Apollo C2-0019,148,148,183.52,1
Apollo C2-0018,148,148,183.52,1
Apollo C2-0017,148,148,183.52,1
Apollo C2-0016,148,148,183.52,1
Apollo C2-0015,148,148,183.52,1
Apollo C2-0014,148,148,183.52,1
Apollo C2-0013,148,148,183.52,1
Apollo C2-0012,148,148,183.52,1
Apollo C2-0011,148,148,183.52,1
Apollo C2-0010,148,148,183.52,1
Apollo C2-0009,148,148,183.52,1
Apollo C2-0008,148,148,183.52,1
Apollo C2-0007,148,148,183.52,1
Apollo C2-0006,148,148,183.52,1
Apollo C2-0005,148,148,183.52,1
Apollo C2-0004,148,148,183.52,1
Apollo C2-0003,148,148,183.52,1
Apollo C2-0002,148,148,183.52,1
Apollo C2-0001,148,148,183.52,1
Apollo SR-ORI-G1,100,100,124,1
Apollo SRDS-8044,54,54,66.96,2
Apollo SRDS-8043,54,54,66.96,2
Apollo SRDS-8042,54,54,66.96,2
Apollo SRDS-8041,54,54,66.96,2
Apollo SRDS-8040,54,54,66.96,2
